what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jpt.common.eclipselink.core,1.0.1.v201108080010,"org.eclipse.jpt.common.eclipselink.core",1389372622704
stopped,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1389372622705
stopped,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1389372622705
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.2.2.v201105031140,"org.eclipse.jst.jsf.facesconfig",1389372622709
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1389372622709
stopped,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1389372622710
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1389372622710
stopped,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1389372622710
stopped,bundle,org.eclipse.jpt.common.ui,1.0.0.v201104120000,"org.eclipse.jpt.common.ui",1389372622713
stopped,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1389372622713
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1389372622714
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.200.v201103302125,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1389372622716
activated,perspective,org.pi4soa.designer,,"org.pi4soa.designer.perspective",1389705711935
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1389705711937
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1389705711938
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1389705711938
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1389705711939
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1389705711940
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1389705711940
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1389705711941
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1389705711942
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1389705711942
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1389705711943
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1389705711943
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1389705711943
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1389705711944
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1389705711945
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1389705711945
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1389705711946
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1389705711946
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1389705711946
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1389705711947
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1389705711947
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1389705711948
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1389705711948
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1389705711949
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1389705711949
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1389705711950
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1389705711950
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1389705711951
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1389705711951
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1389705711952
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1389705711953
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1389705711953
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1389705711954
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1389705711954
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1389705711955
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1389705711956
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1389705711956
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1389705711956
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1389705711957
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1389705711960
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1389705711961
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1389705711961
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1389705711964
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1389705711964
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1389705711965
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1389705711966
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1389705711966
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1389705711967
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1389705711968
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1389705711968
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1389705711968
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1389705711969
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1389705711970
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1389705711971
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1389705711972
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1389705711972
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1389705711972
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1389705711973
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1389705711973
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1389705711974
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1389705711974
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1389705711975
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1389705711976
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1389705711976
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1389705711977
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1389705711978
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1389705711978
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1389705711979
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.I20110201-0800,"org.eclipse.ui.views.properties.tabbed",1389705711979
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1389705711980
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1389705711980
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1389705711981
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1389705711981
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1389705711982
started,bundle,org.eclipse.draw2d,3.8.1.201208201742,"org.eclipse.draw2d",1389705711982
started,bundle,org.eclipse.emf.common,2.8.0.v20120911-0500,"org.eclipse.emf.common",1389705711982
started,bundle,org.eclipse.emf.ecore,2.8.1.v20120911-0500,"org.eclipse.emf.ecore",1389705711982
started,bundle,org.eclipse.emf.ecore.xmi,2.8.0.v20120911-0500,"org.eclipse.emf.ecore.xmi",1389705711982
started,bundle,org.eclipse.gef,3.8.1.201208201742,"org.eclipse.gef",1389705711983
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.201.v201108161900,"org.eclipse.jst.common.project.facet.core",1389705711983
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1389705711984
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1389705711984
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1389705711985
started,bundle,org.pi4soa.cdl,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.cdl",1389705711985
started,bundle,org.pi4soa.designer,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.designer",1389705711988
started,bundle,org.pi4soa.service,3.1.2.v20120307-2048-H257-Beta2,"org.pi4soa.service",1389705711988
started,bundle,org.savara.bpel,2.0.0.Final,"org.savara.bpel",1389705711988
started,bundle,org.savara.bpmn2,2.0.0.Final,"org.savara.bpmn2",1389705711989
started,bundle,org.savara.common,2.0.0.Final,"org.savara.common",1389705711989
started,bundle,org.savara.contract,2.0.0.Final,"org.savara.contract",1389705711989
started,bundle,org.savara.monitor,2.0.0.Final,"org.savara.monitor",1389705711990
started,bundle,org.savara.pi4soa.cdm,2.0.0.Final,"org.savara.pi4soa.cdm",1389705711990
started,bundle,org.savara.protocol,2.0.0.Final,"org.savara.protocol",1389705711991
started,bundle,org.savara.sca.java,2.0.0.Final,"org.savara.sca.java",1389705711991
started,bundle,org.savara.scenario,2.0.0.Final,"org.savara.scenario",1389705711991
started,bundle,org.savara.scenario.simulator.cdm,2.0.0.Final,"org.savara.scenario.simulator.cdm",1389705711992
started,bundle,org.savara.scenario.simulator.protocol,2.0.0.Final,"org.savara.scenario.simulator.protocol",1389705711992
started,bundle,org.savara.scenario.simulator.sca,2.0.0.Final,"org.savara.scenario.simulator.sca",1389705711993
started,bundle,org.savara.switchyard.bpel,2.0.0.Final,"org.savara.switchyard.bpel",1389705711993
started,bundle,org.savara.wsdl,2.0.0.Final,"org.savara.wsdl",1389705711994
started,bundle,org.scribble.common,2.1.0.20120208-M1,"org.scribble.common",1389705711994
started,bundle,org.scribble.protocol,2.1.0.20120208-M1,"org.scribble.protocol",1389705711994
started,bundle,org.scribble.protocol.export.monitor,2.1.0.20120208-M1,"org.scribble.protocol.export.monitor",1389705711995
started,bundle,org.scribble.protocol.monitor,2.1.0.20120208-M1,"org.scribble.protocol.monitor",1389705711995
started,bundle,org.scribble.protocol.parser,2.1.0.20120208-M1,"org.scribble.protocol.parser",1389705711995
started,bundle,org.scribble.protocol.projection,2.1.0.20120208-M1,"org.scribble.protocol.projection",1389705711996
os,sysinfo,,,"win32",1389705711999
arch,sysinfo,,,"x86_64",1389705711999
ws,sysinfo,,,"win32",1389705711999
locale,sysinfo,,,"en_US",1389705711999
processors,sysinfo,,,"4",1389705711999
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1389705711999
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1389705711999
java.specification.name,sysinfo,,,"Java Platform API Specification",1389705711999
java.specification.vendor,sysinfo,,,"Oracle Corporation",1389705711999
java.specification.version,sysinfo,,,"1.7",1389705711999
java.vendor,sysinfo,,,"Oracle Corporation",1389705711999
java.version,sysinfo,,,"1.7.0_45",1389705711999
java.vm.info,sysinfo,,,"mixed mode",1389705711999
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1389705711999
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1389705711999
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1389705711999
java.vm.specification.version,sysinfo,,,"1.7",1389705711999
java.vm.vendor,sysinfo,,,"Oracle Corporation",1389705711999
java.vm.version,sysinfo,,,"24.45-b08",1389705711999
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389705729666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389705731421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389705734093
